#NWS FLOOD STAGES with USGS ID'S
#Tediously Assembled By: Warren Pettee (Github: WEP11, Twitter: @wpettee)
#Probably by no means complete?

NWS ID, USGS ID, Action, Minor, Moderate, Major, Stage Units, Site Name, State
WPKA1, 02410400,nan,nan,nan,nan,ft,Jordan Dam,AL
WLDA1, 02466031,90,90,102,105,ft,Selden Lock and Dam,AL
WHIA1, 03575500,15,17,20,23,ft,Whitesburg,AL
WETG1, 02339400,635,641,nan,nan,ft,West Point Lake,GA
WETA1, 02411600,35,45,47,54,ft,Wetumpka,AL
WDVA1, 03574500,14,16,19,22,ft,Woodville,AL
WDLA1, 02414500,13,13,20,30,cfs,Wadley,AL
TYLA1, 02421351,122,122,132,135,ft,Henry Lock and Dam,AL
TODA1, 02465005,122,129,138,146,ft,Oliver Lock and Dam,AL
TLAG1, 02411930,13,16,22,27,ft,Tallapoosa,GA
TCLA1, 02462952,138,140,148,158,ft,Holt Lock and Dam,AL
SUTA1, 02424590,28,32,43,55,ft,Suttle,AL
SUMG1, 02398000,12,14,17,20,ft,Summerville,GA
STXA1, 02377570,7,12,14,17,ft,Elsanor,AL
SSNA1, 02364500,28,35,41,nan,ft,Samson (CR 52),AL
SELA1, 02423000,30,45,48,52,ft,Selma,AL
SAYA1, 02456500,25,25,45,49,ft,Sayre,AL
NEWA1, 02361000,14,19,24,30,ft,Newton (SR 134),AL
NAGM6, 02474560,19,27,30,35,ft,New Augusta,MS
MRFA1, 02427506,61,66,80,83,ft,Miller's Ferry,AL
MNJA1, 02425000,15,36,40,43,ft,Marion Junction,AL
MILA1, 02419500,15,40,46,53,ft,Milstead,AL
MHDF1, 02368500,10,14,16,24,ft,Mossy Head (CR 1087),FL
MHDA1, 02413950,nan,nan,nan,nan,ft,Harris Dam,AL
MGYA1, 02419890,15,25,32,38,ft,Tallapoosa Water Plant,AL
MGMA1, 02419988,26,35,45,53,ft,Montgomery,AL
LVNA1, 02467500,18,18,25,30,ft,Livingston,AL
LRYA1, 02470050,19,24,30,35,ft,Leroy,AL
LDBA1, 02362240,nan,nan,nan,nan,ft,Enterprise (CR 606),AL
KETA1, 02457000,7,9.5,12,15,ft,KETONA,AL
HORT1, 03593800,nan,13.8,nan,nan,ft,Savannah 2SE,TN
GNVA1, 02362000,18,23,30,36,ft,Geneva (SR 52),AL
GNSA1, 02447026,101,101,110,118,ft,Gainesville Lock and Dam,AL
GAPA1, 02400496,511,511,514,517,ft,Gadsden,AL
FSHA1, 02378500,7,11,13,18,ft,Silverhill,AL
FOGG1, 02343241,130,134,145,160,ft,W.F. George L&D (USACE),GA
FLOA1, 03589500,16,18,27,32,ft,Florence,AL
FLMA1, 02375000,14,19,21,22.5,ft,Flomaton,AL
ENSA1, 02458450,10,10,13,16,ft,Avenue W in Ensley,AL
