GaugeLID,Location,Latitude,Longitude,Waterbody,State,Action,Flood,Moderate,Major,LowThresh,LowThreshU
AAKA2,Auke Bay,58.851944,-134.708611,Antler River,AK,32.5,33.5,34.5,,,ft
AAMC1,Alameda tide gage,37.771667,-122.298333,San Francisco Bay,CA,,,,,,ft
AANG1,Atlanta,33.819444,-84.407778,Peachtree Creek,GA,13,17,18,20,,ft
ABAG1,GA Highway 203 near Blackshear,31.375278,-82.288889,Alabaha River,GA,7,9,11,13,,ft
ABAT2,Albany,32.732778,-99.140278,Hubbard Creek,TX,32,35,38,43,,ft
ABBG1,Abbeville,31.996667,-83.279167,Ocmulgee River,GA,10,12,14,18,,ft
ABBI3,18th Street Auburn,41.36,-85.049167,Cedar Creek (IN),IN,6,9,10,12,,ft
ABBN7,Lexington,35.806944,-80.234722,Abbotts Creek,NC,12,14,23,31,,ft
ABBV2,Abbott,37.430556,-80.138333,Craig Creek,VA,9,10,14,17,,ft
ABDM6,Aberdeen,33.79,-88.315278,Buttahatchie River,MS,12,13,22,24,,ft
ABEM6,Aberdeen Lock and Dam,33.83,-88.52,Tombigbee River,MS,187,188,190,192,,ft
ABIK1,Abilene,38.906389,-97.284167,Smoky Hill River,KS,22,27,30,33,,ft
ABKL1,Bayou Manchac at Alligator Bayou near Kleinpeter,30.321111,-91.020833,Amite River Basin,LA,,,,,,ft
ABLA2,Ambler,67.086944,-157.8475,Kobuk River,AK,41,42.5,45,49,,ft
ABNG1,Albany,31.594167,-84.144167,Flint River (GA),GA,16,26,31,42,,ft
ABOM8,Missoula,46.877222,-113.931389,Clark Fork River,MT,9.5,10,11,13,,ft
ABPK2,Audubon Park,38.211389,-85.7025,South Fork Beargrass Creek,KY,,,,,,ft
ABPV2,Armistead Boothe Park,38.803889,-77.128333,Backlick Run,VA,7,9,,,,ft
ABQN5,Albuquerque,35.089167,-106.680556,Rio Grande,NM,8,8,10,12.5,,ft
ABRN1,Auburn,40.392805,-95.81268,Little Nemaha River,NE,20,22,23,27,,ft
ABRN8,Abercrombie,46.470278,-96.7825,Wild Rice River (ND),ND,7,10,12,18,,ft
ABRW2,Albright,39.494722,-79.644722,Cheat River,WV,24,27,30,32,,ft
ABSN4,Absecon,39.430278,-74.520556,Absecon Creek,NJ,,,,,,ft
ABTI3,Abington,39.7325,-84.959722,East Fork Whitewater River,IN,11,14,18,22,,ft
ABTT2,Loop 360,30.244444,-97.801944,Barton Creek,TX,8,8,11,12,,ft
ABYT2,Fort Griffin,32.934444,-99.224167,Clear Fork Brazos River,TX,21,25,35,39,,ft
ACBC1,Div Dam near Sunol,37.498611,-121.779444,Alameda Creek,CA,,,,,,ft
ACDG1,Arcade,34.031667,-83.563333,Middle Oconee River,GA,15,16,21,27,,ft
ACDO2,Arcadia Lake,35.64833,-97.363056,Deep Fork River,OK,,,,,,ft
ACEC1,Almaden Reservoir,37.1656,-121.8281,Almaden-Calero Canal,CA,,,,,,ft
ACIT1,Ashland City,36.270556,-87.076111,Cumberland River,TN,24,28,32,36,,ft
ACMC1,,37.8975,-122.536111,Arroyo Corte Madera del Presidio,CA,6.5,,8,,,ft
ACML1,Acme,31.267778,-91.830833,Black River,LA,47,48,52,58,,ft
ACMN5,Acme,33.536111,-104.376667,Pecos River,NM,12,13,14.5,16,,ft
ACMP1,C.W. Bill Young Lock and Dam,40.536111,-79.815,Allegheny River,PA,15,17,20,23,,ft
ACOM2,Hyattsville,38.952222,-76.966111,Northwest Branch Anacostia River,MD,8,9.5,13,18,,ft
ACRT2,Austin,30.246111,-97.68,Colorado River (TX),TX,25,33,38,42,,ft
ACRV2,Alexandria,38.806389,-77.11,Cameron Run,VA,6,9.5,11,13,,ft
ACSC1,Sunol,37.5775,-121.856667,San Antonio Creek,CA,,,,,,ft
ACSF1,Starke,29.936944,-82.115278,Alligator Creek,FL,137,139,141,143,,ft
ACST1,Ashland City,36.32,-87.051111,Sycamore Creek,TN,10,14,17,20,,ft
ACTI3,Acton,39.656944,-85.9575,Buck Creek (IN),IN,7,9,14,18,2.2,cfs
ACTT2,Waco Lake,31.579444,-97.1975,North Texas Lakes,TX,,,,,,ft
ACWS1,Conway,33.850833,-78.897222,Waccamaw River,SC,,,,,,ft
ACYG1,Covington,33.64,-83.779167,Alcovy River,GA,9,12,16,20,,ft
ACYN4,Atlantic City (ocean front),39.35,-74.416667,New Jersey Atlantic Coast,NJ,5.5,6,7,8,-2,ft
ACZC1,Calaveras Creek near Sunol,37.503611,-121.823611,Alameda Creek,CA,,,,,,ft
ADAK1,Ada,39.139167,-97.836667,Salt Creek (KS),KS,13,18,19,24,,ft
ADAM4,Ada,42.956944,-85.4775,Grand River,MI,17,20,22,25,,ft
ADDM8,Diversion Dam near Augusta,47.619444,-112.691111,Sun River,MT,,,,,,ft
ADEV2,Aden,38.61508,-77.55342,Cedar Run,VA,9,13,15,20,,ft
ADLC1,Verona,37.626667,-121.881944,Arroyo de la Laguna,CA,15,15,17,,,ft
ADLC2,Avondale,38.248056,-104.398611,Arkansas River,CO,6,7,8,9,,ft
ADLG1,Adel (SR 37),31.155,-83.543611,Little River (SW Georgia),GA,187,189,193,195,,ft
ADMI3,Logansport (Adamsboro),40.781944,-86.263889,Eel River (IN),IN,7,9,11,12.4,,ft
ADNI3,Raible Avenue in Anderson,40.111111,-85.711111,White River (IN),IN,8,10,15,18,,ft
ADNN6,South Addison,42.072222,-77.299167,Tuscarora Creek,NY,8,9,11,13,,ft
ADRM4,Adrian,41.904167,-83.980556,River Raisin,MI,13,18,19,20,,ft
ADRN7,Anderson Drive,35.821,-78.634,Crabtree Creek,NC,15,16,18,20,,ft
ADSM5,Ada,47.262778,-96.500278,Wild Rice River (MN),MN,,,,,,ft
AESI4,Ames US 30,42.006653,-93.595495,South Skunk River,IA,19,21.5,23.5,24.5,,ft
AEXL1,Alexandria,31.308889,-92.439167,Red River,LA,28,32,36,40,,ft
AFBI2,Algonquin tailwater,42.161944,-88.293889,Fox River,IL,9,9.5,10.5,12,,ft
AFCS2,Aberdeen,45.519167,-98.577222,Foot Creek,SD,8,9,,,,ft
AFHA3,Humboldt,34.485278,-112.2375,Agua Fria River,AZ,,,,,,ft
